,INSP_UNIT_MAKE,0,1,2,3,4,5,6,7,total_count
2224,MORT,1.0,0.0,2.0,22.0,3.0,19.0,1.0,4.0,51.0
3567,VLV,10.0,18.0,2.0,4.0,6.0,6.0,5.0,9.0,50.0
3059,SUMT,6.0,3.0,8.0,10.0,2.0,14.0,6.0,7.0,50.0
145,APPL,6.0,0.0,2.0,24.0,2.0,14.0,2.0,6.0,50.0
3698,WILS,1.0,23.0,1.0,4.0,4.0,3.0,11.0,4.0,50.0
2990,STAV,6.0,0.0,0.0,20.0,1.0,11.0,6.0,10.0,48.0
1568,INFY,8.0,13.0,3.0,8.0,3.0,9.0,6.0,6.0,48.0
1074,FABQ,2.0,0.0,2.0,13.0,1.0,17.0,8.0,7.0,48.0
1396,HARD,8.0,6.0,4.0,10.0,10.0,4.0,7.0,7.0,48.0
1286,GATR,2.0,1.0,3.0,17.0,0.0,9.0,2.0,15.0,47.0
2550,PRAT,2.0,6.0,4.0,2.0,8.0,7.0,17.0,3.0,47.0
306,BIRE,6.0,5.0,2.0,20.0,2.0,11.0,4.0,3.0,47.0
1403,HAUI,3.0,1.0,1.0,20.0,1.0,11.0,7.0,5.0,46.0
290,BIG B,4.0,1.0,0.0,21.0,1.0,17.0,4.0,2.0,46.0
1113,FELLI,1.0,1.0,3.0,18.0,4.0,17.0,2.0,1.0,46.0
3610,WALK,4.0,14.0,1.0,11.0,4.0,1.0,3.0,11.0,45.0
670,CONT,3.0,1.0,3.0,24.0,0.0,10.0,3.0,4.0,45.0
799,DAKO,5.0,10.0,4.0,9.0,1.0,11.0,4.0,5.0,44.0
124,ANDH,3.0,0.0,0.0,17.0,0.0,15.0,7.0,5.0,44.0
516,CARSO,4.0,4.0,13.0,6.0,5.0,10.0,3.0,2.0,43.0
770,CUAS,1.0,2.0,2.0,12.0,9.0,10.0,6.0,2.0,43.0
359,BRAZ,2.0,23.0,0.0,4.0,7.0,1.0,3.0,4.0,42.0
2441,PARR,0.0,2.0,0.0,16.0,7.0,6.0,5.0,6.0,42.0
296,BIGH,1.0,0.0,0.0,16.0,4.0,15.0,4.0,2.0,41.0
1211,FRG,9.0,16.0,4.0,8.0,1.0,1.0,6.0,5.0,41.0
1868,LARK,1.0,2.0,1.0,21.0,2.0,8.0,2.0,4.0,40.0
2766,RNKE,3.0,12.0,4.0,3.0,0.0,8.0,6.0,7.0,40.0
2420,PAMR,1.0,0.0,1.0,25.0,3.0,2.0,5.0,4.0,40.0
685,CORN,0.0,4.0,1.0,19.0,0.0,11.0,4.0,1.0,40.0
1878,LBT,0.0,15.0,2.0,3.0,0.0,1.0,12.0,6.0,39.0
2209,MONN,5.0,16.0,5.0,1.0,0.0,2.0,4.0,11.0,39.0
2976,ST,6.0,1.0,2.0,16.0,3.0,11.0,2.0,4.0,39.0
3369,TRLN,9.0,3.0,0.0,17.0,6.0,6.0,5.0,2.0,39.0
241,BEAT,9.0,19.0,7.0,3.0,2.0,3.0,0.0,4.0,38.0
2158,MIFU,3.0,6.0,1.0,13.0,4.0,2.0,8.0,4.0,38.0
3577,VNTG,1.0,15.0,6.0,2.0,3.0,0.0,3.0,9.0,38.0
3653,WES,0.0,7.0,6.0,5.0,5.0,6.0,3.0,6.0,38.0
100,AMEM,4.0,3.0,1.0,17.0,4.0,8.0,1.0,4.0,38.0
586,CHRY,7.0,1.0,2.0,12.0,1.0,10.0,5.0,7.0,38.0
180,ATRO,0.0,17.0,4.0,0.0,0.0,0.0,13.0,4.0,38.0
859,DIAM,3.0,5.0,3.0,7.0,2.0,14.0,3.0,3.0,37.0
3630,WARR,3.0,6.0,2.0,7.0,9.0,2.0,6.0,5.0,37.0
424,BWISE,2.0,0.0,0.0,25.0,0.0,7.0,1.0,4.0,37.0
3318,TRAV,0.0,8.0,3.0,3.0,5.0,1.0,10.0,6.0,36.0
3284,TOYT,3.0,1.0,2.0,13.0,4.0,6.0,5.0,5.0,36.0
2646,RAMI,2.0,2.0,3.0,14.0,1.0,11.0,3.0,2.0,36.0
3597,WABA,3.0,9.0,0.0,12.0,1.0,1.0,8.0,5.0,36.0
2278,NATW,2.0,1.0,3.0,12.0,3.0,8.0,3.0,6.0,36.0
142,APPAL,7.0,1.0,1.0,16.0,2.0,6.0,4.0,6.0,36.0
2924,SMIH,5.0,10.0,2.0,11.0,5.0,0.0,2.0,6.0,36.0
1712,KALY,3.0,5.0,2.0,7.0,1.0,5.0,7.0,9.0,36.0
829,DELCO,0.0,1.0,2.0,15.0,0.0,11.0,3.0,3.0,35.0
1589,INTP,0.0,4.0,0.0,16.0,0.0,8.0,3.0,4.0,35.0
3540,VANG,4.0,10.0,4.0,6.0,2.0,1.0,8.0,4.0,35.0
3353,TRKG,1.0,5.0,6.0,3.0,0.0,6.0,12.0,2.0,34.0
3478,UNIA,1.0,2.0,1.0,11.0,4.0,5.0,3.0,8.0,34.0
1034,ETNY,2.0,7.0,8.0,1.0,2.0,6.0,6.0,4.0,34.0
